uri:/instrument/1.0/A/chartdata;type=sma;range=15d/csv
ticker:a
Company-Name:Agilent Technologies, Inc. Comm
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:42.6200
range:20150406,1428327000,1428350400
range:20150407,1428413400,1428436800
range:20150408,1428499800,1428523200
range:20150409,1428586200,1428609600
range:20150410,1428672600,1428696000
range:20150413,1428931800,1428955200
range:20150414,1429018200,1429041600
range:20150415,1429104600,1429128000
range:20150416,1429191000,1429214400
range:20150417,1429277400,1429300800
range:20150420,1429536600,1429560000
range:20150421,1429623000,1429646400
range:20150422,1429709400,1429732800
range:20150423,1429795800,1429819200
range:20150424,1429882200,1429905600
Timestamp:1428327000,1429905600
labels:1428327000,1428413400,1428499800,1428586200,1428672600,1428931800,1429018200,1429104600,1429191000,1429277400,1429536600,1429623000,1429709400,1429795800,1429882200
values:Timestamp,sma
sma:42.0138,43.4254
1428690240,43.0130
1428690541,43.0228
1428690898,43.0312
1428691141,43.0390
1428691440,43.0466
1428691747,43.0544
1428692094,43.0622
1428692340,43.0696
1428692652,43.0760
1428692942,43.0824
1428693298,43.0888
1428693540,43.0954
1428693896,43.1012
1428694162,43.1084
1428694443,43.1166
1428694799,43.1262
1428695095,43.1364
1428695394,43.1476
1428695694,43.1591
1428695946,43.1713
1428696000,43.1831
1428932051,43.1929
1428932346,43.2006
1428932641,43.2068
1428932991,43.2118
1428933243,43.2184
1428933547,43.2248
1428933893,43.2314
1428934197,43.2377
1428934498,43.2439
1428934792,43.2497
1428935095,43.2555
1428935396,43.2615
1428935648,43.2671
1428935964,43.2723
1428936298,43.2779
1428936598,43.2837
1428936899,43.2900
1428937193,43.2958
1428937471,43.3020
1428937797,43.3086
1428938098,43.3145
1428938370,43.3206
1428938644,43.3262
1428938999,43.3318
1428939298,43.3367
1428939599,43.3411
1428939893,43.3442
1428940198,43.3470
1428940492,43.3514
1428940795,43.3549
1428941040,43.3595
1428941340,43.3647
1428941692,43.3701
1428941994,43.3747
1428942293,43.3790
1428942541,43.3833
1428942883,43.3880
1428943169,43.3932
1428943468,43.3988
1428943754,43.4044
1428944058,43.4097
1428944364,43.4154
1428944692,43.4201
1428944995,43.4237
1428945243,43.4254
1428945565,43.4254
1428945898,43.4230
1428946191,43.4208
1428946491,43.4185
1428946757,43.4165
1428947099,43.4156
1428947395,43.4168
1428947696,43.4196
1428947998,43.4224
1428948280,43.4233
1428948543,43.4240
1428948899,43.4242
1428949154,43.4246
1428949491,43.4244
1428949744,43.4244
1428950098,43.4248
1428950359,43.4251
1428950699,43.4251
1428950992,43.4253
1428951248,43.4234
1428951550,43.4204
1428951851,43.4167
1428952140,43.4144
1428952499,43.4102
1428952759,43.4056
1428953095,43.3997
1428953390,43.3922
1428953643,43.3857
1428953998,43.3787
1428954282,43.3720
1428954599,43.3648
1428954899,43.3577
1428955199,43.3505
1428955200,43.3429
1429018495,43.3313
1429018799,43.3181
1429019047,43.3033
1429019399,43.2871
1429019642,43.2723
1429019997,43.2564
1429020292,43.2391
1429020597,43.2226
1429020840,43.2078
1429021146,43.1928
1429021499,43.1778
1429021789,43.1634
1429022088,43.1481
1429022352,43.1324
1429022640,43.1170
1429022820,43.1029
1429023280,43.0897
1429023599,43.0779
1429023866,43.0653
1429024145,43.0536
1429024482,43.0434
1429024760,43.0337
1429025051,43.0232
1429025371,43.0128
1429025661,43.0032
1429025949,42.9921
1429026284,42.9832
1429026449,42.9742
1429026896,42.9668
1429027141,42.9598
1429027494,42.9516
1429027751,42.9440
1429027933,42.9371
1429028343,42.9299
1429028682,42.9227
1429028961,42.9174
1429029258,42.9144
1429029545,42.9114
1429029868,42.9068
1429030189,42.9038
1429030481,42.9012
1429030788,42.8992
1429031051,42.8984
1429031340,42.8971
1429031675,42.8961
1429031942,42.8947
1429032253,42.8943
1429032541,42.8933
1429032864,42.8921
1429033180,42.8901
1429033499,42.8926
1429033701,42.8959
1429034045,42.9017
1429034398,42.9091
1429034640,42.9157
1429034993,42.9239
1429035297,42.9336
1429035572,42.9430
1429035896,42.9502
1429036196,42.9576
1429036498,42.9640
1429036747,42.9692
1429037088,42.9764
1429037397,42.9836
1429037696,42.9912
1429037996,42.9996
1429038299,43.0070
1429038596,43.0138
1429038841,43.0212
1429039191,43.0275
1429039486,43.0309
1429039741,43.0345
1429040060,43.0391
1429040362,43.0439
1429040640,43.0485
1429040944,43.0547
1429041299,43.0571
1429041540,43.0601
1429041600,43.0615
1429104878,43.0661
1429105150,43.0721
1429105466,43.0777
1429105750,43.0819
1429106052,43.0885
1429106341,43.0943
1429106660,43.0999
1429106990,43.1037
1429107241,43.1079
1429107571,43.1120
1429107858,43.1166
1429108096,43.1200
1429108389,43.1244
1429108788,43.1296
1429109088,43.1349
1429109282,43.1401
1429109695,43.1463
1429109941,43.1528
1429110243,43.1598
1429110588,43.1664
1429110838,43.1740
1429111199,43.1803
1429111479,43.1866
1429111743,43.1914
1429112041,43.1950
1429112370,43.1978
1429112584,43.2004
1429112913,43.2037
1429113298,43.2061
1429113549,43.2101
1429113876,43.2141
1429114188,43.2180
1429114390,43.2222
1429114792,43.2254
1429115025,43.2288
1429115381,43.2318
1429115687,43.2330
1429115941,43.2360
1429116248,43.2396
1429116547,43.2430
1429116892,43.2465
1429117196,43.2521
1429117498,43.2567
1429117761,43.2617
1429117997,43.2667
1429118399,43.2733
1429118649,43.2809
1429118948,43.2909
1429119296,43.2994
1429119593,43.3077
1429119872,43.3123
1429120146,43.3171
1429120497,43.3211
1429120746,43.3257
1429121069,43.3282
1429121285,43.3313
1429121649,43.3337
1429121940,43.3366
1429122275,43.3395
1429122599,43.3434
1429122866,43.3468
1429123179,43.3520
1429123441,43.3582
1429123745,43.3642
1429124097,43.3694
1429124399,43.3740
1429124689,43.3778
1429124999,43.3809
1429125296,43.3825
1429125546,43.3847
1429125848,43.3869
1429126192,43.3897
1429126494,43.3921
1429126797,43.3935
1429127043,43.3956
1429127398,43.3978
1429127697,43.3988
1429127999,43.4002
1429128000,43.4022
1429191254,43.3986
1429191542,43.3958
1429191872,43.3945
1429192176,43.3937
1429192478,43.3927
1429192776,43.3919
1429193047,43.3903
1429193354,43.3875
1429193684,43.3847
1429193943,43.3821
1429194296,43.3783
1429194575,43.3733
1429194898,43.3679
1429195151,43.3641
1429195499,43.3595
1429195741,43.3555
1429196098,43.3491
1429196397,43.3411
1429196698,43.3325
1429196942,43.3252
1429197241,43.3184
1429197567,43.3120
1429197863,43.3048
1429198154,43.2978
1429198479,43.2908
1429198745,43.2845
1429199087,43.2774
1429199350,43.2712
1429199696,43.2651
1429199977,43.2594
1429200281,43.2536
1429200592,43.2478
1429200840,43.2424
1429201153,43.2356
1429201404,43.2294
1429201756,43.2242
1429202071,43.2196
1429202321,43.2140
1429202678,43.2091
1429202976,43.2047
1429203261,43.2003
1429203547,43.1953
1429203845,43.1905
1429204184,43.1849
1429204398,43.1807
1429204753,43.1772
1429205089,43.1742
1429205288,43.1710
1429205650,43.1668
1429205941,43.1628
1429206299,43.1642
1429206577,43.1658
1429206893,43.1670
1429207183,43.1684
1429207458,43.1698
1429207742,43.1708
1429208094,43.1724
1429208347,43.1751
1429208529,43.1773
1429208946,43.1795
1429209294,43.1823
1429209575,43.1865
1429209898,43.1913
1429210159,43.1947
1429210467,43.1977
1429210740,43.1989
1429211092,43.2007
1429211390,43.2033
1429211591,43.2057
1429211997,43.2082
1429212285,43.2100
1429212549,43.2110
1429212847,43.2123
1429213199,43.2141
1429213454,43.2155
1429213743,43.2157
1429214097,43.2159
1429214341,43.2165
1429214400,43.2167
1429277682,43.2113
1429277943,43.2059
1429278287,43.1977
1429278505,43.1891
1429278857,43.1793
1429279196,43.1685
1429279478,43.1575
1429279794,43.1473
1429280053,43.1401
1429280399,43.1328
1429280697,43.1254
1429280940,43.1180
1429281299,43.1122
1429281598,43.1068
1429281865,43.1028
1429282155,43.0986
1429282491,43.0926
1429282799,43.0874
1429283041,43.0810
1429283394,43.0758
1429283657,43.0706
1429283944,43.0656
1429284274,43.0602
1429284548,43.0542
1429284895,43.0470
1429285140,43.0396
1429285483,43.0314
1429285769,43.0240
1429286054,43.0176
1429286393,43.0110
1429286654,43.0036
1429286941,42.9962
1429287243,42.9888
1429287558,42.9800
1429287894,42.9716
1429288163,42.9640
1429288471,42.9576
1429288769,42.9518
1429289043,42.9456
1429289380,42.9394
1429289641,42.9326
1429289949,42.9268
1429290255,42.9221
1429290496,42.9174
1429290899,42.9123
1429291021,42.9075
1429291493,42.9039
1429291787,42.9011
1429292098,42.8963
1429292340,42.8915
1429292680,42.8920
1429292973,42.8934
1429293251,42.8960
1429293553,42.8976
1429293840,42.9002
1429294187,42.9024
1429294494,42.9030
1429294741,42.9042
1429295059,42.9044
1429295390,42.9048
1429295696,42.9056
1429295948,42.9064
1429296246,42.9072
1429296585,42.9061
1429296843,42.9049
1429297197,42.9037
1429297490,42.9037
1429297765,42.9019
1429298096,42.9024
1429298345,42.9016
1429298692,42.9000
1429298941,42.8989
1429299244,42.8995
1429299599,42.9005
1429299895,42.9023
1429300199,42.9035
1429300497,42.9057
1429300797,42.9077
1429300800,42.9089
1429536879,42.9181
1429537099,42.9259
1429537431,42.9327
1429537743,42.9411
1429538041,42.9511
1429538344,42.9595
1429538699,42.9675
1429538945,42.9759
1429539284,42.9823
1429539587,42.9891
1429539886,42.9963
1429540147,43.0027
1429540455,43.0093
1429540770,43.0160
1429541079,43.0230
1429541281,43.0291
1429541675,43.0360
1429541993,43.0428
1429542294,43.0510
1429542597,43.0608
1429542899,43.0692
1429543142,43.0775
1429543459,43.0859
1429543728,43.0953
1429544071,43.1061
1429544397,43.1173
1429544696,43.1288
1429544957,43.1410
1429545289,43.1518
1429545540,43.1616
1429545840,43.1695
1429546199,43.1769
1429546440,43.1839
1429546782,43.1914
1429547073,43.1996
1429547367,43.2078
1429547699,43.2151
1429547972,43.2215
1429548271,43.2290
1429548588,43.2365
1429548873,43.2448
1429549168,43.2528
1429549443,43.2602
1429549750,43.2648
1429550098,43.2700
1429550385,43.2747
1429550699,43.2803
1429550959,43.2856
1429551297,43.2893
1429551570,43.2939
1429551873,43.2901
1429552143,43.2883
1429552455,43.2868
1429552777,43.2852
1429553097,43.2822
1429553369,43.2798
1429553659,43.2768
1429553995,43.2741
1429554288,43.2723
1429554595,43.2703
1429554848,43.2681
1429555180,43.2672
1429555451,43.2666
1429555768,43.2650
1429556072,43.2624
1429556395,43.2605
1429556699,43.2588
1429556997,43.2572
1429557247,43.2536
1429557597,43.2502
1429557876,43.2480
1429558163,43.2458
1429558495,43.2430
1429558744,43.2407
1429559092,43.2370
1429559397,43.2334
1429559694,43.2300
1429559999,43.2266
1429560000,43.2236
1429623283,43.2248
1429623554,43.2267
1429623870,43.2283
1429624198,43.2305
1429624496,43.2316
1429624741,43.2321
1429625096,43.2317
1429625346,43.2310
1429625651,43.2329
1429625979,43.2335
1429626298,43.2331
1429626589,43.2307
1429626841,43.2282
1429627177,43.2256
1429627481,43.2216
1429627741,43.2174
1429627995,43.2148
1429628345,43.2116
1429628686,43.2097
1429628967,43.2088
1429629299,43.2066
1429629555,43.2056
1429629846,43.2040
1429630199,43.2040
1429630455,43.2002
1429630770,43.1978
1429631095,43.1970
1429631366,43.1966
1429631669,43.1951
1429631995,43.1933
1429632246,43.1909
1429632595,43.1885
1429632896,43.1854
1429633199,43.1800
1429633499,43.1754
1429633779,43.1730
1429634095,43.1701
1429634392,43.1667
1429634650,43.1617
1429634998,43.1567
1429635242,43.1519
1429635565,43.1467
1429635894,43.1427
1429636199,43.1380
1429636442,43.1344
1429636796,43.1307
1429637040,43.1265
1429637395,43.1232
1429637642,43.1208
1429637983,43.1164
1429638297,43.1074
1429638595,43.0982
1429638894,43.0912
1429639198,43.0840
1429639499,43.0752
1429639793,43.0676
1429640086,43.0606
1429640352,43.0548
1429640692,43.0482
1429640996,43.0430
1429641294,43.0392
1429641597,43.0358
1429641874,43.0325
1429642173,43.0291
1429642452,43.0277
